n_number,mode_s_hex,model_code,model_name,manufacturer,owner_name,owner_city,owner_state,match_reasons,confidence,type_aircraft,type_engine,status_code
10067,A007FE,8680615,Unknown,Unknown,SAFER MEDICAL OF MT,FORT BENTON,MT,Owner name keyword,low,6,3,V
1007G,A00808,1145005,AS350B3,AIRBUS HELICOPTERS INC,DEPARTMENT OF HOMELAND SECURITY,WASHINGTON,DC,Model: AS350B3,medium,6,3,V
100BY,A004E4,5780460,Unknown,Unknown,FIRST FLIGHT AVIATION LLC,BOERNE,TX,Owner name keyword,low,5,2,V
100EW,A0052D,3980205,Unknown,Unknown,DYNAMIC HEALTHCARE SOLUTIONS DBA,DALLAS,TX,Owner name keyword,low,5,5,V
100HN,A00570,5620040,EC135 P3,AIRBUS HELICOPTERS DEUTSCHLAND,HEALTHNET AEROMEDICAL SERVICES INC,CHARLESTON,WV,Model: EC135 P3; Owner name keyword,high,6,3,V
100SF,A0064A,1152706,Unknown,Unknown,SAFE FLIGHT INSTRUMENT LLC,WHITE PLAINS,NY,Owner name keyword,low,5,1,V
1013A,A00B2D,1385152,Unknown,Unknown,ANDROMEDA LEASING I LLC,PURCHASE,NY,Owner name keyword,low,5,5,V
1017,A00BB8,3800337,H 301 LIBELLE,GLASFLUGEL,JEDNACZ SCOTT T,BIXBY,OK,Model: H 301 LIBELLE,medium,1,0,V
101AE,A00870,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
101CN,A008AA,1390008,Unknown,Unknown,CORPORATE FLIGHT MANAGEMENT INC DBA,SMYRNA,TN,Owner name keyword,low,5,5,V
101PJ,A009B9,05620RN,Unknown,Unknown,AERIAL ANGELS INC,LAS VEGAS,NV,Owner name keyword,low,4,5,V
101SW,A00A10,2990105,Unknown,Unknown,SKYWARRIOR FLIGHT TRAINING LLC,PENSACOLA,FL,Owner name keyword,low,5,1,V
101US,A00A3E,2072418,Unknown,Unknown,USAEROFLIGHT LLC,GREENVILLE,SC,Owner name keyword,low,4,8,V
101WD,A00A63,2076710,Unknown,Unknown,MIWD FLIGHT LLC,MIDDLETOWN,PA,Owner name keyword,low,5,5,V
1020G,A00E81,1145005,AS350B3,AIRBUS HELICOPTERS INC,HELIFUN EXPEDITIONS LLC,KALISPELL,MT,Model: AS350B3,medium,6,3,V
1024E,A00F0B,06102HA,Unknown,Unknown,LEIGH AEROSYSTEMS CORP,VISTA,CA,Owner name keyword,low,H,7,V
102FA,A00CA0,1152704,Unknown,Unknown,MEDIC CHOPPERS LLC,SPRINGDALE,AR,Owner name keyword,low,5,1,V
102HN,A00CDE,8680990,EC135P1,EUROCOPTER DEUTSCHLAND GMBH,AIR METHODS LLC,GREENWOOD VILLAGE,CO,Model: EC135P1,medium,6,3,V
102WK,A00E20,1152909,Unknown,Unknown,WILLIS KNIGHTON MEDICAL CENTER,SHREVEPORT,LA,Owner name keyword,low,5,2,V
103AE,A00FDE,1182107,Unknown,Unknown,AIR EVAC EMS INC,O FALLON,MO,Owner name keyword,low,6,3,V
103GH,A01077,1660207,Unknown,Unknown,TEXAS YOUTH FLIGHT EXPERIENCE FOUNDATION,BOERNE,TX,Owner name keyword,low,1,0,V
103MT,A010FE,5626002,Unknown,Unknown,MED TRANS CORP,DENTON,TX,Owner name keyword,low,6,3,V
103VS,A011C5,5580103,Unknown,Unknown,VERTOL SYSTEMS CO INC,DESTIN,FL,Owner name keyword,low,6,3,V
1049A,A01724,1385152,Unknown,Unknown,ANDROMEDA LEASING II LLC,PURCHASE,NY,Owner name keyword,low,5,5,V
104AH,A01398,5620037,MBB-BK117 D-3,AIRBUS HELICOPTERS INC,AIRBUS HELICOPTERS INC,GRAND PRAIRIE,TX,Model: MBB-BK117 D-3,medium,6,3,V
1052Q,A019F4,2074220,Unknown,Unknown,NIGHTHAWK AIR SYSTEMS INC,MIAMI,FL,Owner name keyword,low,5,1,V
1055W,A01A63,3800341,STANDARD LIBELLE,GLASFLUGEL,MIDWESTERN SOARING ASSOCIATION,PECULIAR,MO,Model: STANDARD LIBELLE,medium,1,0,V
1059D,A01ADE,3800341,STANDARD LIBELLE,GLASFLUGEL,RAFFERTY MICHAEL J,SANTA MONICA,CA,Model: STANDARD LIBELLE,medium,1,0,V
105GH,A017E5,5190007,Unknown,Unknown,MAGNIFLIGHT LLC,ARLINGTON,TX,Owner name keyword,low,2,0,V
105GK,A017E7,5626006,BO-105S,MESSERSCHMITT-BOELKOW-BLOHM,BANK OF UTAH TRUSTEE,SALT LAKE CITY,UT,Model: BO-105S,medium,6,3,V
105LC,A01844,5626008,BO105CBS,MESSERSCHMITT,CENTERLINE HOLDINGS INC,CAMDEN,DE,Model: BO105CBS,medium,6,3,V
105M,A0185A,3800341,STANDARD LIBELLE,GLASFLUGEL,ACKLEY RICHARD F,CLEARVILLE,PA,Model: STANDARD LIBELLE,medium,1,0,V
105NK,A0187D,1145009,Unknown,Unknown,MED-TRANS CORP,DENTON,TX,Owner name keyword,low,6,3,V
105NM,A0187F,1880280,Unknown,Unknown,GLOBAL MEDIA BOX,ALBUQUERQUE,NM,Owner name keyword,low,2,0,V
105S,A018D7,3800341,STANDARD LIBELLE,GLASFLUGEL,HOLDEN DANIEL N,ANACORTES,WA,Model: STANDARD LIBELLE,medium,1,0,V
105UA,A0190A,4470506,Unknown,Unknown,DOWN EAST EMERGENCY MEDICINE INSTITUTE,ORONO,ME,Owner name keyword,low,6,3,V
1061F,A01D7F,1152740,Unknown,Unknown,FOXTROT FLIGHT LLC,CLARKSDALE,MS,Owner name keyword,low,5,1,V
